date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-02-13,63921334,277,195,1.407%,895173.2,4049.3,0.452%,5.0,Maluma
2024-02-12,63919676,277,195,1.519%,966599.3,4092.0,0.423%,5.0,Maluma
2024-02-11,63919916,277,194,1.509%,960557.3,4072.9,0.424%,6.0,Maluma
2024-02-10,63915911,277,194,1.427%,907887.6,4093.9,0.451%,6.0,Maluma
2024-02-09,63918547,277,193,1.566%,996326.7,4437.1,0.445%,5.0,Maluma
2024-02-08,63910113,277,192,1.607%,1022596.7,4480.4,0.438%,4.0,Maluma
2024-02-07,63918212,277,191,1.595%,1015822.6,3617.8,0.356%,5.0,Maluma
2024-02-06,63923678,277,190,1.341%,853791.4,3162.6,0.370%,4.0,Maluma
2024-02-05,63915096,277,189,1.331%,847355.8,3044.3,0.359%,4.0,Maluma
2024-02-04,63907739,276,188,1.325%,843631.6,3033.3,0.360%,4.0,Maluma
2024-02-03,63905209,276,188,1.315%,837503.8,3017.3,0.360%,3.0,Maluma
2024-02-02,63902040,276,188,1.517%,966445.8,3183.9,0.329%,3.0,Maluma
2024-02-01,63896523,276,187,1.562%,994874.9,3124.9,0.314%,4.0,Maluma
2024-01-31,63892373,276,186,1.556%,990842.0,3114.0,0.314%,2.0,Maluma
2024-01-30,63891568,276,186,1.543%,982641.0,3091.1,0.315%,2.0,Maluma
2024-01-29,63890039,276,186,1.298%,826750.7,2714.8,0.328%,2.0,Maluma
2024-01-28,63881880,276,185,1.292%,822922.9,2701.4,0.328%,1.0,Maluma
2024-01-27,63874004,276,185,1.287%,819372.4,2674.3,0.326%,1.0,Maluma
2024-01-26,63876098,276,185,1.460%,929990.0,2682.8,0.288%,2.0,Maluma
2024-01-25,63880568,276,184,1.458%,928623.8,2677.2,0.288%,1.0,Maluma
2024-01-24,63883635,276,184,1.456%,927181.8,2671.1,0.288%,1.0,Maluma
2024-01-23,63884685,275,184,1.453%,925581.1,2664.2,0.288%,1.0,Maluma
2024-01-22,63885474,275,184,1.450%,923436.7,2652.5,0.287%,1.0,Maluma
2024-01-21,63887285,275,184,1.441%,918056.2,2635.5,0.287%,2.0,Maluma
2024-01-20,63889155,275,184,1.383%,881344.5,2371.9,0.269%,2.0,Maluma
2024-01-19,63890538,275,183,1.381%,879704.9,2365.3,0.269%,2.0,Maluma
2024-01-18,63891602,275,183,1.378%,878054.9,2359.8,0.269%,2.0,Maluma
2024-01-17,63893212,275,183,1.373%,875106.6,2353.3,0.269%,2.0,Maluma
2024-01-16,63896319,275,183,1.363%,868329.8,2342.4,0.270%,3.0,Maluma
2024-01-15,63898788,274,183,1.440%,917333.0,2535.4,0.276%,4.0,Maluma
2024-01-14,63902600,274,182,1.441%,918625.1,2488.2,0.271%,3.0,Maluma
2024-01-13,63889826,274,182,1.433%,913365.3,2479.1,0.271%,4.0,Maluma
2024-01-12,63893150,274,181,1.415%,901671.3,2451.8,0.272%,3.0,Maluma
2024-01-11,63900953,274,181,1.346%,857944.3,2207.3,0.257%,3.0,Maluma
2024-01-10,63907693,274,180,1.463%,932059.9,2960.2,0.318%,3.0,Maluma
2024-01-09,63907288,275,179,1.454%,926144.7,2954.5,0.319%,2.0,Maluma
2024-01-08,63909286,275,179,1.609%,1025015.7,3252.9,0.317%,1.0,Maluma
2024-01-07,63912255,275,178,1.604%,1021604.2,3248.5,0.318%,1.0,Maluma
2024-01-06,63913916,275,178,1.598%,1018071.4,3239.7,0.318%,1.0,Maluma
